;index;song;year;artist;genre;lyrics;spotify_streams;deezer_rate;youtube_views
149456;248635;live-for-the-one-you-love;2008;celine-dion;Pop;A million stars light This beautiful night This is not a night to die Let me sing and dance beneath the sky I have such love to give to give I want a chance to live Live for the one I love Love as no one has loved Give asking nothing in return Free free to find my way Free to have my say Free to see the day Be like I used to be Like I'm wild bird free With all of life in me Live for the one I love Love as no one has loved Give asking nothing in return Though this world tears us apart We're still together in my heart I want the world to hear my cry And even if I have to die Love will not die Love will change the world Live for the one I love Love like no one has loved Give asking nothing in return I'll love until love wears me away I'll die and I know my love will stay And I know my love will stay;1724337;3,03;104000
69853;117972;perfection;2006;bonnie-tyler;Pop; desmond child diane warren Producer for bonnie cher darlene desmond child Recorded in 1987 bonnie did guest vocals on this song for cher's self titled lp along with 60's session queen darlene love lyrics taken from uk cd sleeve Hush little baby gotta be strong 'cause in this world we are born to fight Be the best prove them wrong A winner's work is never done Reach the top number one Perfection Oh perfection You drive me crazy with perfection I've worn my pride as my protection Perfection oh I was taught to be tough The best that you can be ain't enough Crack the whip sacrifice But I found out paradise had a price I didn't know it then But oh I know it now You gotta work as hard as love To make the love work out You know this heart of mine Has made some big mistakes I guess that when it comes to love I just don't know what I takes Chorus All my life I've been driven by perfection Pushed it to the limit every day and night Whoa i've been driven by perfection But nothing's perfect when love ain't right Nothing's perfect when love ain't right Gave it all Played my part I gave everything I had but my heart Worked so hard Made a name But the loneliness inside stays the same When love is here today And then it's gone today You got a list of lovers lookin like a resum br> you gotta take some time To make it something real I guess that when it comes to love I just don't know how to feel chorus Oh perfection You drive me crazy with perfection I've worn my pride as my protection I'm goin crazy with perfection;;;18000
218085;362048;watch-this;2006;clay-walker;Country;If you've never felt what happens When two hearts thaw together Or never seen love written in the stars And knew it was forever If you don't believe that destiny Can start with just one wish Watch this I'll show you love like you've dreamed of I've got so much to give Watch this Don't be afraid you'll be amazed At all the ways that I can Show you what you've missed Just close your eyes And watch this A broken heart can always live in fear Afraid to fall I can make those feelings disappear In no time at all If you wanna feel the world stand still From the magic of one kiss Watch this I'll show you love like you've dreamed of I've got so much to give Watch this Don't be afraid you'll be amazed At all the ways that I can Show you what you've missed Just close your eyes And watch this Watch this I'll show you love like you've dreamed of I've got so much to give Watch this Don't be afraid you'll be amazed At all the ways that I can Show you what you've missed Just close your eyes And watch this Oh baby watch this;751902;1,45;301000
190652;316112;stormy-ballad-of-a-vampire;2008;blind-iris;Rock;"Stormy says the sun is too bright She sleeps in all day Waits for the night Seldom smiles Always paints her face white I think it brings out the fire in her eyes The way I see it We are one in the same Both looking for hearts to burn with In flames She says ""love is blind We're all destined to change"" Put her lips up to my ear Her breathe felt hot on my face And she said ""scream scream Blackberries and cream The first time that I saw you I was lost in a dream"" And she said ""cry cry To the moon in the sky If I should loose your love away And this night should turn to day I surely will die"" Lights out Down on her knees Pulls out her record collection Of dark symphonies Puts the needle down Spin round and round I saw a flash of red And then she rose up off the ground She said ""please please Child listen to me If your not superstitious You had better believe"" And she said ""lie lie No I will not lie I need a soul to give away So I can live another day Now you must die"" I felt a wicked sensation Black smoke crept from the ventilation She said ""strange you never knew We're all across the nation"" As my blood began to boil And her fangs began to rise I pulled out my cross necklace And I stuck it in her eye She said ""scream scream Blackberries and cream We could have been together But you put your faith in me"" And she said "" cry cry To the moon in the sky When I return to find Beware my love will blind you And you'll die"" Fragmented oblivion Paterns creep across the floor The smokes tranquil Free's my thoughts to go Somewhere in my head I see her naked white and cold And I can't help but wonder Why it was that she'd chosen me I wonder I wonder Why a lust for her still burdens me So I fathom the thought of the summers breeze I fathom the thought of the stormy sea's Oh Yeah Uh Huh";1000;0,31;43
13220;23395;the-revelation-embodied;2007;cult-of-luna;Rock;A time lost to the sick crowd of a new demonic realm Oceans of blood have drowned all humanity The stained ground is smoking of burning flesh Still attached to human bones Skulls screaming in pain A time when the curse is alive The horsemen have arrived Under the hoofs has the human race tread down into muddy pools of dirt The abyss wide open gap set loose the army of darkness Over this forsaken earth day and night the apocalypse rules The revelation embodied;117748;0,86;2300
141303;234977;orgasm-through-torture;2006;cannibal-corpse;Metal;Suffer to survive Instinct I despise Stalking the night searching for A victim to defile Cock she craves today Cum she wants to spray And to reach the orgasm through torture From behind pain shivering down my spine I feel paralyzed only controlling my mind Strapped to a table naked genitals exposed Eyes claimed open mouth gagged shut terrified Locks my scrotum in a vice and tightens forcefully Agony silent screams want to die Shackled and bound unaware my fate Destined to be maimed to stimulate The skin is peeled off my dick Done with a razor blade She begins to suck Blood and cum amok She rips my cock off with her teeth Masticate gnawing and chewing the stump She regurgitates I'm covered in my bloody chunks Suffer to survive Instinct I despise I am alive victimized Tortured fate asexual state;216642;1,45;40 000
39510;67798;in-the-misty-moonlight;2007;eddy-arnold;Country;In the misty moonlight By the flickering firelight Any place is all right Long as I'm with you In a faraway land On the tropic sea sand If your hand's in my hand I won't be blue Way up on the mountain A way down in the valley I know I'll be happy Any place anywhere I don't care In the misty moonlight By the flickering firelight Any place is all right Long as you are there Way up on the mountain A way down in the valley I know I'll be happy Any place anywhere I don't care In the misty moonlight By the flickering firelight Any place is all right Long as you are there;5723;0,23;5000
157349;261904;the-battle;2006;ablaze-my-sorrow;Metal;As the sky turns black My hunger sets in My hunger for killing and slaying I raise my fist against the northern sky As I scream in anguish and in pain The blood from your veins caress my skin As my battle against mankind goes on I will keep on killing Until mankind forever is gone When the night fades away I return to my deep cold cave Longing for the next night to arrive The arrival of the black northern sky The arrival of the battle divine For hundreds of years I've struggled Never to surrender never to die I'm immortal I'm the battle divine I've travelled through ages to find you And finally you're mine You'll die for me the battle divine Betrayer you'll die by my fire My fire the everlasting pain;3626;0,26;6900
162957;271042;teenage-twats;2007;g-g-allin;Rock;Hey little cunts you squeak when you walk Well your ass is so tight you're the sluts of the block You think you're so tough hanging out at the arcade You're checking out the guys and hoping to get laid Teenage twats teenage twats I like what you got Yea teenage twat I'd like to tie you up and shit in your face Kick you in the cunt girl put you in your place Puke up your mother's pussy and fuck you in the face Teenage twats now's the time now's the place Now's the place Teenage twats I like what you got Teenage twats teenage twats I like what you got;;;3400
135390;225659;losing-you;2008;anna-ternheim;Indie;Fine white sheet and candles too Beds in a straight row one's for you No one talks straight at you Just outside in the hallway Flowers in the window red and blue Rose people here still think of you No bleeding eye when they pass Don't bang your head against the glass What can I do I am losing you What can I do I am losing you What can I do I am losing you What can I do I am losing you From the doorway watching you sleep Before you wake up not when you eat Keep it straight wipe your mouth Keep it down Rose don't shout From the doorway watching you sleep Before you wake up not when you eat Keep it straight wipe your mouth Keep it down Rose don't shout ;908028;1,02;14000
